Median for 2020-11-04 UTC : 18345120
Median for 2020-11-05 UTC : 15325499
Median for 2020-11-06 UTC : 15027788
Median for 2020-11-07 UTC : 14228890
Median for 2020-11-08 UTC : 14454251
Median for 2020-11-09 UTC : 14486444
Median for 2020-11-10 UTC : 14284622
Median for 2020-11-11 UTC : 14325303
Median for 2020-11-12 UTC : 14699567
Median for 2020-11-13 UTC : 14192244
Median for 2020-11-14 UTC : 13781492
Median for 2020-11-15 UTC : 13958590
Median for 2020-11-16 UTC : 14615969
Median for 2020-11-17 UTC : 14477041
Median for 2020-11-18 UTC : 14899425
Median for 2020-11-19 UTC : 14891100
Median for 2020-11-20 UTC : 15054205
Median for 2020-11-21 UTC : 13884602
Median for 2020-11-22 UTC : 14190698
Median for 2020-11-23 UTC : 14878633
Median for 2020-11-24 UTC : 14337172
Median for 2020-11-25 UTC : 13918281
Median for 2020-11-26 UTC : 13798815
Median for 2020-11-27 UTC : 14154696
Median for 2020-11-28 UTC : 14987250
Median for 2020-11-29 UTC : 14408768
Median for 2020-11-30 UTC : 15273525
Median for 2020-12-01 UTC : 15499848
Median for 2020-12-02 UTC : 14645418
Median for 2020-12-03 UTC : 15164152
Median for 2020-12-04 UTC : 14766294
Median for 2020-12-05 UTC : 14647088
Median for 2020-12-06 UTC : 14578723
Median for 2020-12-07 UTC : 15260828
Median for 2020-12-08 UTC : 15595250
Median for 2020-12-09 UTC : 15890566
Median for 2020-12-10 UTC : 16013286
Median for 2020-12-11 UTC : 15792059
Median for 2020-12-12 UTC : 14924544
Median for 2020-12-13 UTC : 15383750
Median for 2020-12-14 UTC : 15903216
Median for 2020-12-15 UTC : 15832843
Median for 2020-12-16 UTC : 15212240
Median for 2020-12-17 UTC : 14810897
Median for 2020-12-18 UTC : 14631871
Median for 2020-12-19 UTC : 14128442
Median for 2020-12-20 UTC : 14435222
Median for 2020-12-21 UTC : 14668527
Median for 2020-12-22 UTC : 14229885
Median for 2020-12-23 UTC : 13913325
Median for 2020-12-24 UTC : 13202411
Median for 2020-12-25 UTC : 11970204
Median for 2020-12-26 UTC : 13336360
